,index,address/city,address/community,address/neighborhood,address/state,address/streetAddress,address/subdivision,address/zipcode,bathrooms,bedrooms,currency,description,latitude,livingArea,longitude,price,url,yearBuilt,zestmate,zestmate_rent,monthly_cost,monthly_cash_flow,yearly_return,school,school_sum
0,0,Needville,,,TX,12222 Padon Rd,,77461,,2.0,USD,"12 acre gated lot in the heart of Needville with plenty of options. Walking distance to Needville schools, a minute from Hwy 36, very quiet area and yet reasonable distance to Highway 59. Property has a home in need of TLC but is priced at lot value only.",29.375001907348636,1434.0,-95.78892517089844,179900,https://www.zillow.com/homedetails/12222-Padon-Rd-Needville-TX-77461/122514464_zpid/,1930.0,0.0,1282.0,1041.0,241.0,0.073,"6,6,6",18.0
1,1,Rosenberg,,,TX,4707 Seabourne Landing Dr,Seabourne Landing,77471,2.0,3.0,USD,"Single-story ; 3 bedrooms ; 2 baths ; 2-car attached garage ; covered patio. Spacious common area includes Family Room, Casual Dining and island Kitchen with access to covered patio. Private main-suite includes a main bath with double sinks, a large shower, and ample closet space. Garden tub option. Conveniently located Utility Room.*Photos are representative of the floor plan, selection and finishes may vary. Contact the community New Home Consultant for more details.*",29.51449584960937,1596.0,-95.80025482177734,249515,https://www.zillow.com/homedetails/4707-Seabourne-Landing-Dr-Rosenberg-TX-77471/305293521_zpid/,2021.0,,,,,,,
2,2,Rosenberg,,,TX,4710 Seabourne Landing Dr,Seabourne Landing,77471,2.0,3.0,USD,"Plan #1520Single-story ; 3 bedroom ; 2 baths ; Flex Room ; 2-car attached garage ; covered patio. Spacious Family gathering area with island Kitchen and Casual Dining area. Private Master-suite features Master bath with double sinks, shower and walk-in closet. Garden tub option available. Bedroom 3/study option. Centrally located Flex Room. Optional extension available for Patio. Optional Garage side extension available.*Photos are representative of the floor plan, selection and finishes may vary. Contact the community New Home Consultant for more details.*",29.514387130737305,1871.0,-95.80081939697266,282315,https://www.zillow.com/homedetails/4710-Seabourne-Landing-Dr-Rosenberg-TX-77471/305293512_zpid/,2021.0,,,,,,,
3,3,Rosenberg,,,TX,2615 Zephyr Ln,,77471,3.0,3.0,USD,"This incredible Foxwood Builders home in the desirable community of Fairpark Village is a must-see! Nestled on a spacious lot, this property boasts faux wood blinds, a tankless water heater, and a covered patio for outdoor entertaining and leisure. Reach new culinary heights in the stunning island kitchen, complete with granite countertops, a tile backsplash, 42"" cabinets, and stainless steel appliances. Unwind in the spa-like primary suite, complete with dual vanities, a 36"" tub, and separate shower. Conveniently located near I-69, U.S. 90, and TX 36, residents enjoy an easy commute to the Energy Corridor and Westchase. Explore popular shopping, dining, and entertainment at the Sugar Land Town Square. Schools are zoned to the highly-acclaimed Lamar Consolidated Independent School District. What are you waiting for - call today!",29.508563995361328,1931.0,-95.8238754272461,244085,https://www.zillow.com/homedetails/2615-Zephyr-Ln-Rosenberg-TX-77471/2076687046_zpid/,2021.0,,,,,,,
4,4,Rosenberg,,,TX,4923 Windy Poplar Trl,,77471,3.0,4.0,USD,"This gorgeous Briarwood Home in the idyllic community of Briarwood Crossing is exactly what you've been searching for. Nestled on a spacious lot, this 4-sided brick property boasts a premium elevation, tile flooring, a fireplace with a cast stone surround, and a covered patio for outdoor entertaining and leisure. Equipped with granite countertops, a tile backsplash, 42"" cabinets, and stainless steel appliances, this incredible kitchen will make you the envy of any chef. Enjoy family time outdoors at the community's 5-acre park and recreation area with a splash pad, swimming pool, picnic area, and green belts with walking paths. This location provides commuters with easy access to U.S. 59 and the Grand Parkway. Schools are zoned to the highly-acclaimed Lamar Consolidated Independent School District. Call today!",29.49050712585449,2076.0,-95.81609344482422,295155,https://www.zillow.com/homedetails/4923-Windy-Poplar-Trl-Rosenberg-TX-77471/2076687414_zpid/,2021.0,,,,,,,
5,6,Richmond,,,TX,6927 Rosebud Hollow Ln,,77469,3.0,3.0,USD,"Welcome to your 3BR 2.5 BA 2 Story home.  It is move-in ready.  The first floor has your dining, cooking and entertaining all in one large space.  The floors are beautiful grey luxury vinyl planks that were installed in 2018. The bedrooms feature the same flooring that was installed in 2019.   Fresh carpet ,just installed on the stairs, leads you up to the bedrooms.  The primary bedroom, bath and closet are big and beautiful.   To help you stay cool this summer, the AC unit Evaporator Coil, Condenser, and Compressor were replaced in 2018.  The roof was also replaced in 2018 and has a transferable warranty.  The back yard has a gold fish pond and is ready for your landscaping to complete your home.",29.499494552612305,1641.0,-95.7676239013672,198000,https://www.zillow.com/homedetails/6927-Rosebud-Hollow-Ln-Richmond-TX-77469/84754719_zpid/,2010.0,,,,,,,
6,7,Needville,,,TX,9206 Gene St,,77461,2.0,3.0,USD,"Nice 3 Bedroom, 2 Bath in a great location.  County Library is next door and the Elementary School is the back neighbor.  This one has crown molding and 9' ceilings throughout.  Open floor plan with no walls between the Living Room, Kitchen and Dining Room with access to the covered Patio.   The Kitchen has quartz counters and an island.  Primary Bedroom is secluded on the left side of the home and the other Bedrooms are on the right side.  Lot depth is 150' with no back neighbors.",29.39489555358887,1629.0,-95.83889770507812,239000,https://www.zillow.com/homedetails/9206-Gene-St-Needville-TX-77461/2076704005_zpid/,2019.0,,,,,,,
7,8,Richmond,,,TX,2915 Sage Bluff Ave,,77469,3.0,4.0,USD,"Welcome to this open space concept home with lots of natural sun light. Warm extended entry to welcome your family and friends. Formal dining room with large size family room open to spacious kitchen with island. Super sized master bedroom on lower level with three large bedrooms upstairs. Oversized game room on second level ideal for the family. Recently updated with new carpet and high quality laminate flooring throughout. The interior of the home has been professionaly painted as well. Attached two car garage. The kitchen was remodeled in 2019 with new appliances, new granite counter tops, and much more.  Best of all located in the Rose Ranch subdivision in Richmond, TX.  Centrally located with easy access to US 59/69 South. Not too far from the Brazos Town Center within proximity to major shopping and dining. A must see home before is gone.",29.52366065979004,2154.0,-95.7595672607422,234900,https://www.zillow.com/homedetails/2915-Sage-Bluff-Ave-Richmond-TX-77469/65718408_zpid/,2006.0,,,,,,,
8,12,Needville,,,TX,9103 Anna St,,77461,2.0,3.0,USD,"Country living in desirable and developing Needville. Cul de sac lot.  HOME STARTING SOON 1991 Plan.  3 bedroom,2 full bathrooms, Large utility room, and covered back porch. Call today to schedule an appointment to review the gorgeous custom building plans. Pictures are only examples of possible finishings as actual home has not been built.  No HOA fees, NO MUD taxes and NO restrictions.",29.39236640930176,1991.0,-95.84239959716795,280000,https://www.zillow.com/homedetails/9103-Anna-St-Needville-TX-77461/2076802466_zpid/,,,,,,,,
9,13,Needville,,,TX,9111 Anna St,,77461,3.0,3.0,USD,"Country living in desirable and developing Needville. Cul de sac lot.  HOME STARTING SOON 2056 Plan. Covered back porch, 3 bedrooms, 2 full baths, 1/2 bath, a built in mud bench, and a bonus Data Center/Work Space! Call today to schedule an appointment to review the gorgeous custom building plans. Pictures are only examples of finishings as actual home has not been built.  No HOA fees, NO MUD taxes and NO restrictions.",29.39232635498047,2056.0,-95.84244537353516,289900,https://www.zillow.com/homedetails/9111-Anna-St-Needville-TX-77461/2076802475_zpid/,,,,,,,,
