zipcode,city,county,ziptype
73301,Austin,Travis,Unique
73344,Austin,Travis,Unique
73960,Texhoma,Sherman,Box
75001,Addison,Dallas,Standard
75002,Allen,Collin,Standard
75006,Carrollton,Dallas,Standard
75007,Carrollton,Denton,Standard
75009,Celina,Collin,Standard
75010,Carrollton,Denton,Standard
75011,Carrollton,Dallas,Box
75013,Allen,Collin,Standard
75014,Irving,Dallas,Box
75015,Irving,Dallas,Box
75016,Irving,Dallas,Box
75017,Irving,Dallas,Box
75019,Coppell,Dallas,Standard
75020,Denison,Grayson,Standard
75021,Denison,Grayson,Standard
75022,Mound,Denton,Standard
75023,Plano,Collin,Standard
75024,Plano,Collin,Standard
75025,Plano,Collin,Standard
75026,Plano,Collin,Box
75027,Mound,Denton,Box
75028,Mound,Denton,Standard
75029,Lewisville,Denton,Box
75030,Rowlett,Dallas,Box
75032,Rockwall,Rockwall,Standard
75033,Frisco,Denton,Standard
75034,Frisco,Denton,Standard
75035,Frisco,Collin,Standard
75036,Frisco,Denton,Standard
75038,Irving,Dallas,Standard
75039,Irving,Dallas,Standard
75040,Garland,Dallas,Standard
75041,Garland,Dallas,Standard
75042,Garland,Dallas,Standard
75043,Garland,Dallas,Standard
75044,Garland,Dallas,Standard
75045,Garland,Dallas,Box
75046,Garland,Dallas,Box
75047,Garland,Dallas,Box
75048,Sachse,Dallas,Standard
75049,Garland,Dallas,Box
75050,Prairie,Dallas,Standard
75051,Prairie,Dallas,Standard
75052,Prairie,Dallas,Standard
75053,Prairie,Dallas,Box
75054,Prairie,Dallas,Standard
75056,Colony,Denton,Standard
75057,Lewisville,Denton,Standard
75058,Gunter,Grayson,Standard
75059,Irving,Dallas,Unique
75060,Irving,Dallas,Standard
75061,Irving,Dallas,Standard
75062,Irving,Dallas,Standard
75063,Irving,Dallas,Standard
75064,Irving,Dallas,Unique
75065,Dallas,Denton,Standard
75067,Lewisville,Denton,Standard
75068,Elm,Denton,Standard
75069,Mckinney,Collin,Standard
75070,Mckinney,Collin,Standard
75071,Mckinney,Collin,Standard
75072,Mckinney,Collin,Standard
75074,Plano,Collin,Standard
75075,Plano,Collin,Standard
75076,Pottsboro,Grayson,Standard
75077,Lewisville,Denton,Standard
75078,Prosper,Collin,Standard
75080,Richardson,Dallas,Standard
75081,Richardson,Dallas,Standard
75082,Richardson,Dallas,Standard
75083,Richardson,Dallas,Box
75085,Richardson,Dallas,Box
75086,Plano,Collin,Box
75087,Rockwall,Rockwall,Standard
75088,Rowlett,Dallas,Standard
75089,Rowlett,Dallas,Standard
75090,Sherman,Grayson,Standard
75091,Sherman,Grayson,Box
75092,Sherman,Grayson,Standard
75093,Plano,Collin,Standard
75094,Plano,Collin,Standard
75097,Weston,Collin,Box
75098,Wylie,Collin,Standard
75099,Coppell,Dallas,Unique
75101,Bardwell,Ellis,Box
75102,Barry,Navarro,Standard
75103,Canton,Zandt,Standard
75104,Hill,Dallas,Standard
75105,Chatfield,Navarro,Standard
75106,Hill,Dallas,Box
75109,Corsicana,Navarro,Standard
75110,Corsicana,Navarro,Standard
75114,Crandall,Kaufman,Standard
75115,Desoto,Dallas,Standard
